         0)	         1	  5.000000  5.000000  5.000000  5.000000  5.000000
         1)	         2	  4.000000  4.000000  4.000000  4.000000  4.000000
         2)	         3	  6.000000  6.000000  6.000000  6.000000  6.000000
         3)	         2	  3.000000  3.000000  3.000000  3.000000  3.000000
         4)	         2	  7.000000  7.000000  7.000000  7.000000  7.000000
         5)	         2	  2.000000  2.000000  2.000000  2.000000  2.000000
         6)	         2	  8.000000  8.000000  8.000000  8.000000  8.000000
         7)	         1	  1.000000  1.000000  1.000000  1.000000  1.000000
         8)	         3	  0.100000  0.100000  0.100000  0.100000  0.100000
         9)	         2	  9.000000  9.000000  9.000000  9.000000  9.000000
